,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,23:55,11.140801155585189,0.0354835668333333,4272.0,0.0043769190398706,19.2
4,23:56,14.0930241397191,0.0512722586111111,3898.0,0.0361575269327424,13.0
29,23:57,33.8557906282437,0.673090549027778,3176.0,0.247192898570909,15.0
55,23:58,44.8489284237658,1.64775562883333,5483.0,0.519657290333799,46.0
81,23:59,47.0257266364475,2.51298469780555,5573.0,0.70924514461617,44.0
106,00:00,51.8845706026339,3.62056608627778,6501.0,0.960698392837616,52.0
131,00:01,51.9425888585112,4.49249599861111,1709.0,1.15883260826563,8.2
156,00:02,44.9528586887003,4.62513800011111,1606.0,1.24780341140573,12.8
181,00:03,43.745317098644,5.23370129616666,1797.0,1.42844313470505,17.2
207,00:04,43.9663333582272,6.00583735522222,2534.0,1.68723670402476,14.0
233,00:05,41.6237702955117,6.38229167633333,1760.0,1.81680612452464,8.4
258,00:06,42.18735649233,7.15478433675,1606.0,2.07802541109317,5.0
284,00:07,40.7500668467894,7.61092647099999,1811.0,2.2410204587167,15.6
309,00:08,37.4042692546656,7.61092647099999,1766.0,2.3048978603836,11.4
334,00:09,35.8140596629513,7.87389055369444,6530.0,2.4351441230822,27.0
359,00:10,34.5062971177726,8.16393351819443,1799.0,2.54855746322311,19.0
